symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
BG,"$60,937",Strategy,133.3,11.96%,"$34,001","$38,269",-49.73%,"$90,142",V2
BXP,"$40,311",Benchmark,121.1,7.61%,"$38,560","$34,229",-76.09%,"$67,201",V2
CHRW,"$90,015",Benchmark,131.2,12.98%,"$50,756","$48,079",-46.88%,"$108,437",V2
CDNS,"$846,443",Benchmark,110.6,18.61%,"$73,536","$157,463",-78.23%,"$1,238,839",V2
CZR,"$19,060",Benchmark,132.3,9.65%,"$30,256","$32,796",-78.38%,"$83,329",V2
CPT,"$226,323",Benchmark,103.1,16.01%,"$49,386","$69,349",-70.83%,"$256,668",V2
CPB,"$316,835",Benchmark,132.1,10.08%,"$118,534","$134,600",-73.29%,"$386,180",V2
COF,"$325,598",Strategy,138.2,19.02%,"$89,041","$112,714",-76.15%,"$459,252",V2
CAH,"$591,742",Benchmark,131.9,15.69%,"$141,432","$152,463",-68.93%,"$598,561",V2
KMX,"$122,508",Strategy,155.7,14.1%,"$112,174","$112,513",-70.14%,"$375,052",V2
CCL,"$247,542",Strategy,139.5,13.14%,"$85,632","$106,403",-73.15%,"$403,169",V2
CARR,"$16,721",Benchmark,83.3,18.69%,"$13,952","$14,206",-36.75%,"$22,699",V2
CBOE,"$82,098",Benchmark,86.7,23.43%,"$25,552","$30,624",-36.74%,"$82,276",V2
CBRE,"$76,095",Benchmark,114.9,15.6%,"$24,630","$30,384",-75.97%,"$86,458",V2
CDW,"$33,999",Benchmark,80.4,16.53%,"$31,694","$30,364",-49.85%,"$51,883",V2
COR,"$332,234",Benchmark,109.5,19.14%,"$41,944","$82,806",-72.55%,"$332,234",V2
CNC,"$43,277",Benchmark,128.5,9.59%,"$23,501","$27,159",-75.01%,"$67,406",V2
CNP,"$1,171,956",Benchmark,121.9,11.72%,"$81,251","$209,322",-61.08%,"$1,385,403",V2
CF,"$121,671",Benchmark,113.2,21.19%,"$53,653","$64,070",-68.88%,"$186,547",V2
CRL,"$36,959",Benchmark,114.2,7.99%,"$10,000","$15,972",-69.1%,"$61,965",V2
CHTR,"$83,324",Benchmark,97.5,23.62%,"$57,139","$57,081",-54.01%,"$134,768",V2
CMG,"$448,925",Strategy,98.8,34.0%,"$82,769","$144,844",-58.83%,"$613,500",V2
CB,"$801,091",Strategy,106.5,22.05%,"$145,959","$230,930",-55.42%,"$810,259",V2
CHD,"$2,399,952",Benchmark,97.2,19.34%,"$173,388","$581,976",-60.3%,"$2,452,822",V2
CI,"$917,984",Benchmark,122.2,16.86%,"$65,500","$232,055",-47.65%,"$1,196,926",V2
