symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
CCI,"$369,657",Strategy,106.0,22.21%,"$187,565","$213,224",-82.59%,"$639,015"
CSX,"$479,833",Benchmark,116.2,13.77%,"$30,082","$129,761",-58.67%,"$717,367"
CMI,"$246,390",Benchmark,148.6,9.31%,"$35,328","$84,158",-77.4%,"$320,527"
CVS,"$466,130",Benchmark,134.2,11.26%,"$124,811","$172,088",-72.8%,"$535,170"
DHR,"$554,612",Benchmark,94.2,13.83%,"$34,830","$101,700",-83.93%,"$689,523"
DRI,"$544,466",Strategy,108.5,22.12%,"$85,148","$135,696",-43.55%,"$568,585"
DVA,"$34,755",Benchmark,125.7,6.43%,"$16,864","$17,559",-90.45%,"$37,090"
DAY,"$14,142",Strategy,152.2,9.05%,"$18,174","$17,736",-53.42%,"$26,730"
DECK,"$225,354",Benchmark,132.3,15.99%,"$10,662","$35,534",-97.73%,"$382,912"
DE,"$340,702",Benchmark,121.0,10.3%,"$29,166","$68,924",-76.63%,"$484,710"
DELL,"$58,536",Strategy,134.8,42.39%,"$19,367","$26,898",-44.95%,"$98,662"
DAL,"$9,823",Benchmark,140.5,-0.15%,"$14,800","$14,971",-73.6%,"$31,928"
DVN,"$749,797",Strategy,157.2,17.34%,"$145,429","$200,362",-73.45%,"$1,066,111"
DXCM,"$238,025",Strategy,146.9,27.61%,"$67,436","$148,481",-69.86%,"$776,525"
FANG,"$61,002",Strategy,133.8,25.36%,"$15,506","$30,871",-71.31%,"$97,065"
DLR,"$40,338",Benchmark,103.6,10.48%,"$26,900","$30,108",-59.0%,"$57,757"
DFS,"$102,284",Benchmark,120.8,21.38%,"$40,503","$43,424",-48.93%,"$124,872"
DG,"$21,056",Benchmark,105.2,7.73%,"$21,784","$26,026",-63.57%,"$53,560"
DLTR,"$48,513",Benchmark,139.1,8.22%,"$39,363","$39,904",-82.5%,"$92,455"
D,"$370,149",Benchmark,79.5,12.36%,"$179,401","$245,319",-65.95%,"$826,566"
DPZ,"$273,522",Benchmark,101.9,26.66%,"$96,908","$116,515",-64.13%,"$315,261"
DASH,"$6,460",Benchmark,159.0,-19.62%,"$4,392","$4,757",-80.62%,"$11,400"
DOV,"$198,978",Benchmark,108.4,10.13%,"$36,968","$49,322",-65.71%,"$251,719"
DOW,"$4,616",Benchmark,147.0,-17.57%,"$7,507","$7,606",-54.76%,"$10,204"
DHI,"$281,126",Benchmark,135.7,16.37%,"$63,017","$82,066",-84.47%,"$425,681"
DTE,"$2,939,622",Benchmark,113.9,14.13%,"$246,823","$421,609",-50.12%,"$2,939,623"
DUK,"$387,861",Benchmark,94.5,12.52%,"$120,876","$130,382",-61.56%,"$388,165"
DD,"$521,423",Benchmark,134.1,11.61%,"$148,017","$186,009",-72.2%,"$632,646"
EMN,"$95,871",Strategy,136.6,11.36%,"$15,236","$34,854",-63.41%,"$141,552"
ETN,"$459,320",Benchmark,115.3,11.22%,"$44,402","$87,679",-56.54%,"$643,339"
EBAY,"$44,095",Benchmark,132.6,8.59%,"$13,749","$15,739",-78.13%,"$46,918"
ECL,"$332,874",Benchmark,110.0,10.23%,"$39,858","$76,527",-60.77%,"$357,990"
EIX,"$134,624",Benchmark,93.5,7.71%,"$105,730","$107,189",-91.11%,"$316,272"
EW,"$246,273",Benchmark,112.4,20.74%,"$59,373","$146,327",-56.66%,"$541,410"
EA,"$20,590",Benchmark,135.7,3.06%,"$20,089","$20,659",-96.48%,"$76,650"
ELV,"$79,263",Benchmark,115.5,13.81%,"$32,858","$40,756",-50.7%,"$98,568"
EMR,"$424,098",Benchmark,111.5,10.97%,"$118,817","$147,347",-65.86%,"$556,758"
ENPH,"$125,439",Benchmark,187.2,37.18%,"$12,767","$64,898",-88.2%,"$259,081"
ETR,"$2,610,363",Benchmark,107.9,16.72%,"$224,871","$432,576",-61.2%,"$2,697,211"
EOG,"$74,233",Benchmark,137.9,8.71%,"$24,416","$27,317",-81.07%,"$101,212"
EPAM,"$131,733",Strategy,104.0,33.17%,"$46,320","$109,454",-68.24%,"$414,756"
EQT,"$125,989",Benchmark,125.6,8.52%,"$77,313","$114,651",-92.27%,"$435,138"
EFX,"$1,247,140",Benchmark,105.3,16.85%,"$200,322","$341,322",-67.0%,"$1,676,775"
EQIX,"$269,977",Strategy,116.7,22.87%,"$83,003","$134,496",-83.49%,"$441,510"
EQR,"$31,258",Benchmark,118.0,5.58%,"$26,517","$27,770",-85.12%,"$55,341"
ERIE,"$111,232",Benchmark,125.1,12.8%,"$21,865","$30,250",-58.7%,"$144,120"
ESS,"$89,805",Benchmark,88.0,11.02%,"$74,573","$73,747",-79.72%,"$158,951"
EL,"$21,593",Benchmark,129.9,3.92%,"$16,207","$25,740",-84.56%,"$123,216"
EG,"$70,483",Benchmark,113.7,10.26%,"$26,826","$33,903",-51.11%,"$78,983"
EVRG,"$873,400",Strategy,126.5,13.22%,"$42,264","$137,366",-51.34%,"$876,177"
ES,"$80,215",Benchmark,132.1,5.95%,"$28,921","$44,748",-60.55%,"$183,759"
EXC,"$567,449",Benchmark,125.2,12.23%,"$122,171","$175,289",-68.17%,"$733,584"
EXE,"$15,854",Benchmark,145.5,25.91%,"$13,593","$13,243",-30.8%,"$16,329"
EXPE,"$38,719",Benchmark,144.5,10.98%,"$19,105","$21,348",-69.27%,"$53,619"
EXPD,"$798,311",Benchmark,96.0,17.61%,"$299,772","$339,419",-51.71%,"$1,105,900"
EXR,"$236,181",Strategy,85.2,25.34%,"$73,232","$84,276",-59.4%,"$289,018"
